Restaurant_Name,Locality,Ratings_out_of_5,Number of votes,Charges_for_two,Cuisine_List
World of Veg,Shivaji Nagar,3.9,1238,1500,"['North Indian', 'Chinese', 'Italian']"
Linkin Barrel,Baner,4.3,1135,1300,"['Continental', 'Modern Indian', 'Italian', 'North Indian']"
Fly High,Hinjawadi,4.3,866,2000,"['Continental', 'Italian', 'Chinese', 'North Indian']"
Thikana,Hinjawadi,4,1971,1500,"['Bar Food', 'North Indian', 'Fast Food']"
High Spirits,Mundhwa,4.2,2401,1500,"['Finger Food', 'Continental', 'Italian', 'North Indian', 'Mexican']"
Cuba Libre,Wakad,4.4,134,2200,"['Finger Food', 'Continental', 'Italian', 'North Indian']"
Dario's,Koregaon Park,4.4,3341,1600,"['Italian', 'Pizza', 'Salad', 'Healthy Food', 'Mexican', 'Cafe', 'Desserts', 'Continental']"
Burger,East Street,4.6,2624,250,"['Burger', 'Fast Food']"
NH 37 Dhaba,Pune University,4.1,2161,1200,"['Chinese', 'North Indian', 'Bengali', 'Salad']"
Hippie@Heart,Deccan Gymkhana,4.5,1102,1300,"['Continental', 'Italian', 'North Indian', 'Finger Food', 'European']"
Kargo,Koregaon Park,4.5,2758,1100,"['Asian', 'Continental', 'North Indian', 'Italian']"
Theobroma,Koregaon Park,4.5,361,600,"['Bakery', 'Desserts', 'Fast Food']"
Malaka Spice,Koregaon Park,4.4,4815,1800,"['Malaysian', 'Thai', 'Vietnamese', 'Japanese', 'Korean', 'Asian', 'Salad']"
360 Degree - The Revolving Fine Dine Restaurant,JM Road,4.2,970,1200,"['North Indian', 'Continental', 'Asian', 'Mughlai']"
Vohuman Cafe,Dhole Patil Road,4.7,3441,250,['Street Food']
Maharaja Bhog,Senapati Bapat Road,4.6,527,1000,"['North Indian', 'Gujarati', 'Rajasthani']"
Hard Rock Cafe,Mundhwa,4.5,3693,2500,"['American', 'Continental', 'Mexican', 'Salad']"
Blue Nile,Camp Area,3.9,2792,800,"['Chinese', 'North Indian', 'Mughlai']"
Ministry Of Barbeque,Wakad,4.2,,1000,"['North Indian', 'Continental']"
Yana Sizzlers & Wok,FC Road,4.3,2450,1000,"['Chinese', 'Continental', 'Seafood', 'Salad']"
Autobahn,Viman Nagar,4.7,3790,1300,"['Bengali', 'Chettinad', 'Goan', 'North Indian']"
18 Degrees Resto Lounge,Pimple Saudagar,3.6,2528,2100,"['North Indian', 'Mediterranean', 'Chinese']"
Satguru's Punjabi Rasoi,Magarpatta,4.2,,1200,"['North Indian', 'Mughlai', 'Fast Food']"
Anna Idli,Baner,4.4,2931,400,"['South Indian', 'Fast Food']"
Crazy Cheesy,Sadashiv Peth,4.4,1430,450,"['Cafe', 'Fast Food', 'Pizza', 'Sandwich']"
Azzurro,Baner,4,938,1600,"['Continental', 'Asian', 'North Indian', 'Mughlai']"
Gong,Baner,4.7,1647,1700,"['Asian', 'Thai', 'Sushi']"
The Deccan Bid Capital,Shivaji Nagar,4.7,1894,1200,"['Asian', 'Continental', 'North Indian']"
Claypot,Kharadi,3.9,1044,700,"['North Indian', 'Seafood', 'Chinese']"
Le Stone,Ravet,4.5,819,1500,"['North Indian', 'Continental', 'Kebab', 'Pizza', 'Chinese']"
Zeleb,Mundhwa,3.4,179,1300,['Bar Food']
Marine Drive,Hinjawadi,3.9,1303,1500,"['Continental', 'North Indian', 'Italian', 'Asian']"
Legends of Punjab,Kalyani Nagar,0,0,1500,"['North Indian', 'Italian', 'Continental', 'Mexican']"
Pop Tate's,Viman Nagar,4.9,1944,1400,"['Continental', 'Italian', 'Chinese']"
Highland,Baner,4.1,773,1200,"['Bar Food', 'North Indian', 'Mughlai', 'Chinese']"
P. K. Biryani House,Kothrud,3.9,1042,1100,"['Biryani', 'Seafood', 'North Indian', 'Kebab']"
Lad Restaurant,Wakad,4.2,275,500,"['Maharashtrian', 'North Indian']"
Texas Tower,Kharadi,4,987,1600,"['Continental', 'North Indian', 'Italian', 'Finger Food', 'Desserts']"
Elephant & Co.,Kalyani Nagar,4.3,1438,1500,"['Finger Food', 'Continental', 'Salad']"
Effingut Brewerkz,Baner,4.5,2857,2000,"['Continental', 'North Indian', 'Mughlai', 'Italian', 'Asian']"
Cafe Paashh,Kalyani Nagar,4.9,378,1500,"['Cafe', 'European', 'Healthy Food', 'Modern Indian']"
The Ritz-Carlton Tea Lounge,Yerawada,0,0,1800,"['Cafe', 'Tea', 'Bakery', 'Desserts', 'Beverages']"
Madéline,Kothrud,3.9,247,850,"['Cafe', 'French', 'European']"
Baobab,Bund Garden Road,4.8,350,1200,"['North Indian', 'Italian', 'Asian']"
Moshi Moshi,Koregaon Park,4.6,,1500,"['Malaysian', 'Thai', 'Vietnamese', 'Japanese', 'Korean', 'Asian', 'Sushi', 'Salad']"
Loft,Viman Nagar,4.5,742,700,"['Cafe', 'Continental', 'Italian', 'Thai', 'North Indian', 'Pizza', 'Burger']"
Culture - पुणे,FC Road,4.3,3476,1300,"['Bar Food', 'North Indian', 'Italian', 'Continental']"
McDonald's,Aundh,3.7,589,500,"['Burger', 'Fast Food']"
Independence Brewing Company,Mundhwa,4.3,2486,1800,"['American', 'Continental', 'Mexican', 'North Indian', 'Beverages']"
Tatyancha Dhaba,Baner,3.6,277,650,"['North Indian', 'Chinese']"
Cafe Blu - Radisson Blu,Hinjawadi,4.6,890,1500,"['Continental', 'North Indian', 'Asian', 'Fast Food', 'Beverages']"
Green Signal,Deccan Gymkhana,4,687,700,"['Chinese', 'North Indian', 'Continental', 'Beverages']"
SP's Biryani House,Sadashiv Peth,3.9,2189,650,"['Biryani', 'Mughlai']"
Baba Ramdev Dhaba,Nigdi,4.2,2208,400,"['North Indian', 'Rajasthani']"
Retox,Erandwane,4.4,,2000,"['Asian', 'North Indian', 'European', 'Continental', 'Finger Food']"
Baraza Bars & Bites,Yerawada,4.5,1641,1500,"['Modern Indian', 'North Indian', 'Asian', 'Continental', 'Mughlai', 'Bar Food']"
BarBerry,Kothrud,4.8,1861,1200,"['North Indian', 'Italian', 'Finger Food']"
Nawab Asia,Baner,4,1289,1300,"['North Indian', 'Chinese', 'Mughlai', 'Biryani', 'Desserts', 'Beverages']"
Blue Water,Ravet,4.6,3230,1800,"['North Indian', 'Chinese', 'Continental']"
True Tramm Trunk,Aundh,4.4,516,1600,"['North Indian', 'Fast Food', 'Asian']"
Tathya,Bund Garden Road,4.6,521,1300,"['North Indian', 'Mughlai', 'Biryani']"
Santè Spa Cuisine,Koregaon Park,4.8,1331,1300,"['Salad', 'Continental', 'Healthy Food', 'Mediterranean', 'Pizza']"
UNWIND,Mundhwa,4.1,723,2200,"['North Indian', 'European', 'Asian', 'Kebab', 'Afghan', 'Continental']"
The Irani Cafe,Viman Nagar,4.3,1158,300,"['Iranian', 'Fast Food']"
Arabian Bites,Kondhwa,4.3,1670,250,['Arabian']
Makaza,Viman Nagar,4.2,,1200,"['North Indian', 'Chinese']"
Chili's American Grill & Bar,Viman Nagar,4.9,5334,1400,"['Mexican', 'American', 'Tex-Mex', 'Salad', 'Burger']"
Madari - The Crazy Bar,Baner,4,,1400,"['Finger Food', 'Modern Indian', 'Italian', 'Bar Food']"
Sigree,Aundh,4.1,1948,1600,['North Indian']
The Cult - House,Magarpatta,3.6,,2000,"['Modern Indian', 'Continental', 'Sushi', 'Finger Food', 'Asian', 'Bar Food']"
Mezza 9,Hinjawadi,3.9,3908,1700,"['Continental', 'North Indian', 'Mughlai', 'Asian']"
Tales & Spirits,Senapati Bapat Road,4.3,3848,1500,"['Italian', 'Continental', 'Salad', 'Bar Food']"
House of Paratha,JM Road,4.1,741,500,"['North Indian', 'Chinese']"
Mughal Mahal,Hinjawadi,4.4,3081,1500,"['North Indian', 'Mughlai', 'Biryani', 'Chinese']"
Hackers Kitchen & Bar,Kharadi,4.2,213,2200,"['North Indian', 'Continental', 'Chinese', 'Seafood']"
The Millers Homebar & Kitchen,Bund Garden Road,4.4,431,1300,"['Continental', 'North Indian', 'Thai']"
Level 5 Bistro and Bar,Erandwane,4.8,494,1200,"['European', 'Italian', 'American']"
Tipsy Turtle,Bavdhan,3.8,210,800,"['North Indian', 'Seafood', 'Italian']"
RushHrs,Magarpatta,4,333,500,"['Fast Food', 'Burger', 'Rolls']"
Samudra,Erandwane,4.2,883,850,"['South Indian', 'Fast Food', 'North Indian', 'Chinese', 'Beverages']"
Son Of A Gun,Baner,4.1,259,1300,"['Italian', 'Mexican', 'North Indian', 'Bar Food']"
Kerala Cafe,Kalyani Nagar,4.4,1073,700,"['Kerala', 'South Indian', 'Seafood']"
Nisarg,Erandwane,4.2,1225,1300,"['Malwani', 'North Indian', 'Seafood']"
Sky High - The Club,Kharadi,3.7,,1600,"['North Indian', 'Chinese', 'Continental', 'Thai']"
Grandmama's Cafe,Koregaon Park,4.2,1576,1200,"['Continental', 'Desserts', 'Fast Food']"
Laa Unico,Swargate,4.6,1505,1500,"['Italian', 'Mexican', 'Continental', 'Modern Indian', 'Beverages']"
Burger King,FC Road,3.9,1173,500,"['Burger', 'Fast Food', 'Beverages']"
Green Park,Baner,3.9,1709,1500,"['North Indian', 'Chinese', 'Continental', 'Thai', 'Mexican', 'Seafood', 'Kebab', 'Mangalorean']"
Talli,Koregaon Park,4.3,,1200,"['North Indian', 'Asian', 'Continental', 'Italian']"
FOMO,Hinjawadi,4.2,257,1250,"['Continental', 'Fast Food', 'North Indian']"
Carnival Restaurant and Bar,Mundhwa,4,1816,1800,"['North Indian', 'Chinese', 'Continental', 'Seafood', 'Salad']"
