Restaurant_Name,Locality,Ratings_out_of_5,Number of votes,Charges_for_two,Cuisine_List
Simply Delicious,Bavdhan,3.3,,350,"['Bakery', 'Fast Food']"
Appa,Shaniwar Peth,4,139,200,"['Maharashtrian', 'South Indian']"
Kitsch - The O Hotel,Koregaon Park,3.9,221,2900,"['Italian', 'European', 'North Indian']"
Zaheer Khan's Dine Fine,Kondhwa,3.9,648,1000,"['North Indian', 'Asian', 'Biryani', 'Chinese']"
Salsa - The Corinthians,NIBM Road,3.8,239,1700,"['Continental', 'Mexican', 'Italian', 'North Indian', 'Salad']"
Roof Top Bar - Sheraton Grand,Bund Garden Road,3.3,,2900,"['North Indian', 'Seafood', 'Kebab']"
Shree Sagar,Salunkhe Vihar Road,4,259,600,"['North Indian', 'South Indian', 'Chinese', 'Street Food', 'Beverages', 'Ice Cream', 'Desserts']"
Mystic Flavours,Warje,3.9,584,1200,"['North Indian', 'Mughlai', 'Chinese', 'Continental', 'Italian']"
GS Biryani,Chinchwad,3.9,442,600,"['Biryani', 'North Indian', 'Chinese', 'Malwani']"
The Fishbowl - Hyatt Pune,Kalyani Nagar,3.9,153,2000,['Finger Food']
Vedas,Akurdi,3.7,174,750,"['North Indian', 'Chinese', 'Mughlai']"
Drunken Diaries,NIBM Road,2.8,75,1250,"['Italian', 'Continental']"
Shamiaana The SitOut Place,Viman Nagar,3.6,277,800,"['North Indian', 'Chinese']"
RollChi,Vishrantwadi,0,0,300,"['Rolls', 'Chinese', 'North Indian']"
Shreemant Vade Wale,Baner,0,0,150,['Fast Food']
Shree Ganesh Fast Food,Balewadi,0,0,200,"['North Indian', 'South Indian']"
Sunrise Cafe,Hadapsar,0,0,300,"['North Indian', 'Chinese']"
Prasad Bhel,Sinhgad Road,0,0,100,['Street Food']
Naaz Cafe,Kondhwa,0,0,200,"['North Indian', 'Chinese']"
Krishna Biryani's,Sinhgad Road,,0,250,['Biryani']
Pune Nashta House,Sadashiv Peth,3.3,,300,"['South Indian', 'Street Food', 'Fast Food', 'North Indian']"
Delhi Darbar,Dange Chowk,3.8,76,500,"['North Indian', 'Chinese', 'Mughlai']"
Cafe Farmhouse,NIBM Road,3.7,150,500,"['North Indian', 'Mughlai', 'Chinese', 'Kebab']"
Cafe Farmhouse,NIBM Road,3.7,150,500,"['North Indian', 'Mughlai', 'Chinese', 'Kebab']"
KV Biryanis And Curries,Camp-MG Road Area,0,0,,"['Biryani', 'Maharashtrian']"
Tamil Nadu Mess,Viman Nagar,3.9,80,150,['South Indian']
Cafe Tunes,MG Road,4,187,750,"['Continental', 'Finger Food', 'Asian', 'Pizza', 'Beverages']"
China Garden,FC Road,3.9,392,700,"['Chinese', 'Momos']"
Grub Jars,Kondhwa,4.1,115,500,"['Salad', 'Healthy Food', 'Fast Food']"
Chinese Corner,Budhwar Peth,3,,300,"['Chinese', 'Maharashtrian']"
Liyo China,B.T. Kawade Road,3.7,99,500,"['Chinese', 'Thai']"
Rajput Restaurant,Koregaon Park,3.8,697,750,"['North Indian', 'Mughlai', 'Kebab', 'Chinese']"
Piatto Dessert Studio || Cafe,Kalyani Nagar,4.3,279,1000,"['Cafe', 'Bakery', 'Desserts']"
New Govinda's Family Restaurant Veg And Non Veg,Nigdi,3.2,165,700,"['North Indian', 'Chinese', 'Kebab', 'Malwani', 'Maharashtrian', 'Beverages']"
Baskin Robbins,Wanowrie,3.7,45,300,"['Ice Cream', 'Desserts', 'Beverages']"
Food Packers,Yerawada,0,0,,"['North Indian', 'Malwani']"
Sri Krishna Aanand Bhavan,Kothrud,3.9,63,400,"['South Indian', 'Street Food']"
Miyuki - DoubleTree By Hilton,Chinchwad,4,103,1700,"['Japanese', 'Sushi']"
Yogisthaan,Viman Nagar,0,0,900,"['Cafe', 'Healthy Food', 'Desserts', 'Fast Food', 'Beverages']"
Bhavvesh Pure Veg,Sinhgad Road,3.3,,500,"['North Indian', 'Maharashtrian', 'Chinese', 'South Indian', 'Beverages']"
Yogi Tree,Koregaon Park,3.8,303,1000,"['North Indian', 'Italian', 'Continental', 'Cafe']"
Royal Burgerio,Wakad,3.3,,400,"['Burger', 'Pizza', 'Fast Food']"
Radhika Veg Restaurant,Aundh,2.7,155,600,"['North Indian', 'South Indian', 'Chinese', 'Fast Food']"
Malwan Samudra,Chinchwad,3.6,115,700,"['Malwani', 'North Indian']"
Supreme Restaurant Bar,Pimpri,3.7,123,850,"['North Indian', 'Chinese', 'Seafood']"
Rashid Khan Caterers,Rasta Peth,3.6,45,800,"['North Indian', 'Mughlai']"
Indra Pure Veg,Hadapsar,3.4,,500,"['North Indian', 'South Indian', 'Maharashtrian', 'Chinese', 'Fast Food', 'Street Food']"
Royal Castle,Pimpri,3.4,,1000,"['North Indian', 'Seafood', 'Mughlai', 'Chinese']"
R.S Food Zone,Kharadi,,0,200,['Fast Food']
The London Shakes & Cafe,Lohegaon,3.4,,250,"['Cafe', 'Beverages', 'Fast Food']"
Tarangan Paan,Viman Nagar,3.2,,100,"['Paan', 'Beverages']"
Food Fiesta,Wakad,3.1,,300,"['North Indian', 'Sandwich', 'Fast Food', 'Chinese', 'South Indian', 'Street Food']"
Mom'S Caffe,Dhankawadi,,0,200,"['Fast Food', 'Chinese', 'Beverages']"
Pizza Lounge,Wadgaon Sheri,,0,,"['Pizza', 'Fast Food']"
Flavours@Khavayyejunction,Nigdi,3.1,,400,"['Street Food', 'North Indian', 'Fast Food']"
Purandar Veg Non-Veg Family Resturant,Dhankawadi,0,0,500,"['Maharashtrian', 'North Indian']"
The Magic Bottle,Kothrud,0,0,300,"['Beverages', 'Fast Food']"
Khana.com,Hadapsar,0,0,200,"['Biryani', 'North Indian', 'Mughlai']"
Golden Bites,Kondhwa,0,0,200,['Fast Food']
Chinese Garden,Bavdhan,0,0,300,['Chinese']
Rainbow Hotel,Lohegaon,0,0,,"['North Indian', 'Kebab']"
Moody Foody,Sinhgad Road,0,0,200,['Street Food']
Aditya Snacks Center,Baner,0,0,,['North Indian']
Idli King,Sinhgad Road,0,0,300,['South Indian']
The Hungry Hog,Lavale,0,0,250,['Fast Food']
RJ Biryani House,Talegaon,0,0,300,['Biryani']
Kerala Kitchen,Wakad,3.5,,400,"['South Indian', 'Kerala', 'Seafood']"
New Hotel Taj,Viman Nagar,3.7,,550,"['North Indian', 'Chinese', 'Mughlai']"
Ruchirangan Pure Veg,Sadashiv Peth,3.4,,350,"['Maharashtrian', 'North Indian', 'Fast Food', 'Beverages']"
Naansense Indian Delivery Kitchen,Kothrud,3.8,173,,"['North Indian', 'Kebab']"
Hashtag09 Bistro Cafe,Pune-Solapur Road,3.2,,300,"['Cafe', 'Fast Food']"
Honey Singh Parathewala,KP and Kalyani,3.3,,,['North Indian']
Swad Punjab Da,Wanowrie,3.7,40,500,"['North Indian', 'Chinese']"
All-Ways Pure Veg,Wakad,3.4,,400,"['North Indian', 'Chinese']"
Chef DJ's,Sinhgad Road,,0,300,"['Pizza', 'Burger']"
Bombay Seekh Paratha,Kondhwa,3.8,59,400,['North Indian']
Kunal Garden Family Restaurant,Khadakwasla,,0,500,"['Chinese', 'Maharashtrian', 'North Indian']"
Savlahari Pot Ice-cream & Mastani,Kharadi,3.3,,150,['Ice Cream']
Street Foods by Punjab Grill,Magarpatta,3.4,,800,"['North Indian', 'Street Food', 'Kebab']"
Aditya A-1 Sandwich,Aundh,,0,150,['Sandwich']
Dosa House,Kondhwa,,0,200,"['South Indian', 'North Indian', 'Street Food', 'Beverages']"
Paparazzi,Kondhwa,3.5,,1000,"['North Indian', 'Chinese']"
Daawat-E-Punjab,Baner,,0,,"['North Indian', 'Chinese']"
Vishwas Snacks,Hadapsar,3.4,,,"['South Indian', 'Fast Food', 'North Indian', 'Desserts', 'Beverages']"
Fusion Kitchen,Wadgaon Sheri,3.2,,,"['Chinese', 'Fast Food']"
Malgudi Bites,Nigdi,3.3,12,400,"['Chinese', 'North Indian', 'Hyderabadi', 'Malwani']"
Relish Pan Pizza,Pimpri,3.5,25,300,"['Pizza', 'Fast Food']"
Desi Appetite,Shivaji Nagar,3.9,33,400,"['North Indian', 'Chinese']"
The Chinese Cafe,Ravet,3.3,,400,"['Chinese', 'Fast Food', 'Beverages']"
Hydrabad Biryani Express,Pimple Saudagar,3.4,50,350,"['Biryani', 'Kebab', 'Maharashtrian', 'Momos']"
Burger Boys,Baner,2.9,4,300,"['Fast Food', 'Burger']"
Unique Biryani,Chinchwad,3.3,,700,"['Biryani', 'North Indian', 'Chinese']"
Ghone’s Pure Non-Veg,Bibvewadi,3.5,,600,['Maharashtrian']
Taibah Restaurant,Viman Nagar,3.7,,450,"['North Indian', 'Chinese', 'Hyderabadi']"
Dumpling Panda,Hinjawadi,3.2,,,"['Fast Food', 'Momos', 'Rolls']"
Flavour Stones,Shivaji Nagar,3.6,,450,"['Fast Food', 'Desserts']"
Hooked,Pimple Saudagar,3.9,,600,['North Indian']
Engineer's Adda,Balewadi,3.2,,400,"['North Indian', 'Chinese']"
Cafe Canephora,Vishrantwadi,,0,300,"['Cafe', 'Fast Food']"
The Bombay Milkshake Factory,Viman Nagar,,0,,['Beverages']
Hotel Sharada,Vishrantwadi,,0,700,"['North Indian', 'Chinese', 'Mughlai']"
Chow Express,Viman Nagar,,0,400,['Chinese']
Siya's Kitchen,Bavdhan,,0,450,"['Fast Food', 'Chinese', 'Rolls']"
Chinese Point,Bibvewadi,3.7,,200,['Chinese']
Khao Roti,Baner,,0,250,['North Indian']
Sandwich Juction,Bibvewadi,,0,250,"['Sandwich', 'Fast Food']"
Hotel Halal,Viman Nagar,3.6,,700,"['North Indian', 'Chinese', 'Biryani']"
Biryani Bowl,Hinjawadi,,0,,"['Biryani', 'North Indian']"
Calcutta Plus,Pimple Saudagar,,0,300,['Bengali']
Appachi Mutton Khanawal,Pimple Saudagar,3.3,,500,"['North Indian', 'Malwani']"
Dosa Xprs,Camp Area,,0,300,"['South Indian', 'Chinese']"
Hotel Hindavi Swaraj,Shivaji Nagar,3.2,,400,"['Biryani', 'Chinese', 'Maharashtrian']"
The Lawn Affair,Bhosari,3.1,,250,['Fast Food']
Star Italian Cafe,Hadapsar,3.1,,350,"['Fast Food', 'Beverages']"
Ketli The Tea Bar,Swargate,3.2,,200,"['Fast Food', 'Beverages', 'Tea']"
Food Lovers,Pimpri,3.4,,250,['Fast Food']
Cafe Richie Rich,Talegaon,3.1,,250,"['Rolls', 'Chinese']"
Box King,Hadapsar,2.7,46,,['North Indian']
Cafe Creme,Kothrud,3.4,,250,"['Beverages', 'Fast Food', 'Ice Cream']"
Trupti Meals,Pimpri,3.1,75,,"['North Indian', 'Maharashtrian']"
Café Ansh,Hinjawadi,3.8,37,250,"['Desserts', 'Beverages']"
Cafe Chocolate Mania,Pimpri,3.3,13,150,"['Burger', 'Sandwich', 'Pizza', 'Beverages']"
House Of Momos,Nigdi,3.8,100,350,"['Momos', 'Fast Food']"
Cafe DoubleSeat,Narhe,2.9,7,250,['Street Food']
Punjabi Bhukhad Pure Veg,Bavdhan,3.8,313,450,"['North Indian', 'Fast Food']"
Hippie House Restaurant and Lounge,Kharadi,2.9,,1500,"['Chinese', 'Biryani', 'North Indian']"
Pranav Chinese,Warje,3.1,,250,['Chinese']
Sherlock's Pub,Magarpatta,3.5,251,2000,"['Finger Food', 'North Indian', 'Italian']"
Akkies Kitchen,Katraj,3.4,719,300,"['Biryani', 'North Indian']"
Hotel New Luqma,Kondhwa,3.2,,400,"['North Indian', 'Chinese', 'Maharashtrian']"
Cheezy,Chandan Nagar,3.7,,450,['Fast Food']
Hotel Angaraj,Kondhwa,3.6,54,1000,"['Chinese', 'North Indian']"
Chef Abhi's Kitchen,Aundh,3,,,"['North Indian', 'Chinese']"
Mothers Meal,Pashan,3.5,84,400,"['Chinese', 'Maharashtrian', 'North Indian']"
Puneri Katta,Wanowrie,3.7,82,250,"['Street Food', 'Fast Food']"
Shanghai Delights,Hadapsar,3.4,96,400,"['Chinese', 'Fast Food']"
KC's Food Logic,Wanowrie,3.8,119,550,"['Cafe', 'Fast Food']"
Parijat Sweets,Viman Nagar,2.8,,,['Mithai']
Sahyadri Misal House,Pimpri,3.5,,300,['Maharashtrian']
Varuna Pure Veg,Wakad,3.5,178,500,"['North Indian', 'Chinese']"
Tuljai Biryani,Shukrawar Peth,3.7,67,500,"['Biryani', 'Mughlai']"
Surya's 24 Carat Biryani,Kothrud,3.4,37,350,"['Biryani', 'North Indian']"
Darshini,Aundh,3.7,87,300,['South Indian']
Classic Pani Puri,Viman Nagar,3.8,50,150,['Fast Food']
The Jumbo Food's,Sinhgad Road,3.5,192,300,['Chinese']
Farmhouse Avi's Restaurant,Kondhwa,3.6,65,600,"['Chinese', 'Mughlai', 'North Indian']"
Royal Connaught Boat Club,Bund Garden Road,3.7,,600,"['North Indian', 'Chinese', 'Malwani', 'Seafood']"
Baithak Dhaba,Lonavala,3.8,74,1000,"['North Indian', 'Chinese', 'Mughlai', 'Seafood']"
Swagat Macchi House,Hadapsar,3.2,48,900,"['North Indian', 'Malwani', 'Chinese', 'Seafood']"
Chinar Garden's China Garden,Baner,2.9,209,600,"['North Indian', 'Mughlai', 'Chinese']"
Rahul Garden Restaurant,Bhosari,3.2,,500,"['North Indian', 'Chinese']"
The Cake Art,Baner,3.8,79,450,['Bakery']
Bailey's The Cake Shop,Pimple Saudagar,3.8,172,200,"['Bakery', 'Desserts']"
Siddharth Pav Bhaji,Camp Area,3.6,113,300,['Street Food']
Paul's,Kondhwa,3.7,102,450,['Chinese']
Mini Wok Oriental Kitchen,Model Colony,4,444,650,"['Chinese', 'Thai', 'Salad']"
Aubergine - Parc Estique,Viman Nagar,3.4,129,1600,"['North Indian', 'Chinese', 'South Indian', 'Continental', 'Salad']"
Simply South,Kothrud,3,255,300,"['South Indian', 'North Indian']"
Nandanvan,Wanowrie,2.8,,450,"['North Indian', 'Chinese', 'Street Food']"
Golden Chopsticx,Pimple Saudagar,3.8,737,650,"['Chinese', 'Thai', 'Momos']"
Rudra Restaurant & Bar,Mulshi Road,3.1,,700,"['North Indian', 'Chinese', 'Kebab', 'Mughlai', 'Seafood', 'Desserts']"
Bake 'N' Cake,Viman Nagar,3.6,,100,['Bakery']
Sanjivani Ice Cream,Nigdi,3.8,78,200,"['Ice Cream', 'Desserts']"
Momo Bistro,NIBM Road,3.6,,300,"['Momos', 'Chinese']"
Madras Cafe,Aundh,3.4,217,300,['South Indian']
Food Express,Wadgaon Sheri,0,0,300,"['Fast Food', 'Street Food']"
The Kashmir Ice Cream And Snacks,Dhole Patil Road,0,0,100,['Desserts']
MOC Cakes,Lohegaon,0,0,300,['Desserts']
Hotel Anvi,Lohegaon,0,0,600,"['North Indian', 'Chinese']"
Sairaj Chinese Hotel,Sinhgad Road,0,0,300,['Chinese']
Mughal's,East Street,3.8,491,800,"['Mughlai', 'North Indian', 'Biryani', 'Kebab']"
Toni Daa Dhaba,Old Mumbai-Pune Highway,2.3,1019,1200,"['North Indian', 'Chinese', 'Mughlai']"
Toni Daa Dhaba,Old Mumbai-Pune Highway,2.3,1019,1200,"['North Indian', 'Chinese', 'Mughlai']"
Shivaba Chinese,Ravet,0,0,350,['Chinese']
Hotel Keema,Wakad,0,0,500,"['Seafood', 'Chinese']"
Star Food & Caterers,Wakad,3.5,66,450,"['Chinese', 'Lebanese']"
MB Foods,Hadapsar,3.4,,500,"['Chinese', 'North Indian', 'South Indian']"
Puneri Biryani,Kharadi,3.8,31,500,"['Biryani', 'Fast Food']"
Hotel Hare Krushna,Bibvewadi,3.5,,300,['North Indian']
Heritage The Royal Dining,Bhosari,0,0,500,['Maharashtrian']
Steak House,Wadgaon Sheri,3.8,,600,['Steak']
The Evening Cafe,Wadgaon Sheri,0,0,200,"['Fast Food', 'Beverages']"
Eatino,Baner,3.8,74,400,"['North Indian', 'South Indian', 'Street Food', 'Fast Food']"
GoodFellas Cafe & Bistro,Wakad,4.1,157,550,"['Cafe', 'Fast Food']"
McCafe by McDonald's,Satara Road,,0,,"['Cafe', 'Beverages']"
Healthy Affairs,Bibvewadi,3.3,,,"['Biryani', 'North Indian']"
The Sugar Factory,Bibvewadi,3.6,,250,"['Desserts', 'Bakery']"
Bring It On Cafe,NIBM Road,0,0,250,"['Healthy Food', 'Salad', 'Fast Food', 'Beverages']"
Bakers Point,NIBM Road,3.8,48,100,['Fast Food']
Hotel Nagpur,Sadashiv Peth,3.8,135,600,['Maharashtrian']
Sawariya Delhi Chaat And Pav Bhaji,Wakad,3.2,,150,['Street Food']
BreakFirst,Kharadi,3.1,,,"['Salad', 'Healthy Food', 'Beverages']"
Matargashti,Baner,3.6,,500,"['North Indian', 'Chinese']"
Annapurna,Pimpri,3.5,,400,"['North Indian', 'Chinese']"
Perch - All Day All Night,Shivaji Nagar,3.6,,1000,"['Asian', 'Pizza', 'Beverages', 'Coffee', 'Chinese', 'Juices', 'Italian', 'North Indian']"
Lalit Mahal,FC Road,2.7,145,500,"['Fast Food', 'North Indian', 'South Indian']"
Shailaja Restaurant & Bar,JM Road,2.6,,700,"['North Indian', 'Seafood', 'Biryani', 'Chinese', 'Desserts']"
Garam Veg Restaurant,Bhosari,3.7,,500,"['North Indian', 'Fast Food', 'South Indian', 'Chinese']"
Shabrii Thalipeeth Center,Wakad,3.1,,250,['North Indian']
Red Chilly Chinese,Hadapsar,3.5,,250,['Chinese']
2 Eatly Cafe,Talegaon,3.2,,400,"['Fast Food', 'Beverages']"
Prawnelicious,Nigdi,3,,500,['Seafood']
Hotel Maratha Darbar,Hinjawadi,,0,550,"['North Indian', 'Malwani', 'Chinese']"
Adarak,Pimple Nilakh,,0,850,"['North Indian', 'Chinese']"
On The House,Mulshi Road,,0,1000,"['North Indian', 'Chinese', 'Fast Food']"
Hotel Mughal Darbaar,Viman Nagar,,0,,['North Indian']
Hotel Poona Veg Non-veg,Hadapsar,0,0,550,"['Chinese', 'North Indian', 'Maharashtrian']"
Maxican Spice,Yerawada,0,0,,['Mexican']
Spiceace,Akurdi,0,0,500,"['North Indian', 'Chinese', 'Fast Food', 'Goan', 'South Indian', 'Mughlai', 'Desserts', 'Beverages']"
Cafe Habibi,Camp Area,0,0,200,['Fast Food']
Avo's Food & Restaurant,Viman Nagar,0,0,350,"['North Indian', 'Chinese', 'South Indian']"
The Bowl Job,Balewadi,0,0,,['North Indian']
299 Cakes,Pimple Nilakh,0,0,300,['Bakery']
Slay Coffee,Pimpri Chinchwad Area,0,0,,"['Beverages', 'Coffee']"
Datta Bhel,Chinchwad,0,0,150,['Street Food']
House of Burgers,Pimpri Chinchwad Area,0,0,,['Fast Food']
Brother's Chinese Center,Kothrud,0,0,300,['Chinese']
Laaiba Snacks,Dange Chowk,0,0,150,['Street Food']
Pahadi Chulaah,Viman Nagar,0,0,,"['North Indian', 'Mughlai']"
Omkar Snack Centre,Narhe,0,0,150,['Street Food']
The Biryani Life,Pimple Gurav,0,0,,"['Biryani', 'North Indian']"
Urban Meal Box,Hinjawadi,,0,300,['North Indian']
MB Express,Sadashiv Peth,,0,300,"['North Indian', 'Maharashtrian', 'Seafood']"
Radhika - Bengali Sweets,Viman Nagar,2.9,,200,['Mithai']
Hotel Rajendra Bhojnalay,Pune-Solapur Road,3.1,8,500,"['Chinese', 'North Indian']"
Pintu Saoji,Baner,3.6,,350,['Maharashtrian']
My Roti Shoti,Koregaon Park,3.8,35,350,['North Indian']
LoWaSa,Mundhwa,3.2,8,600,"['North Indian', 'Chinese', 'Maharashtrian']"
Hotel Shivmudra,Wadgaon Sheri,3.6,,600,"['North Indian', 'Chinese']"
Sangita Bhel & Pani Puri,Erandwane,3.6,23,,['Street Food']
Fontana Viva Italian Pizza Bistro,Mahalunge,3.8,,800,['Italian']
Downtown Foods,Wakad,,0,250,"['North Indian', 'Fast Food', 'Street Food']"
House Of Chaat,Dhankawadi,,0,200,"['South Indian', 'Street Food', 'North Indian']"
The Grin Bunny,Lohegaon,2.9,,400,"['North Indian', 'Chinese', 'Fast Food']"
A K Biryani House,Camp Area,,0,,"['Biryani', 'Kebab']"
SD Cafe,Pashan,3.3,,200,"['Fast Food', 'Beverages']"
Famous Anda Bhurji,Balewadi,3.4,16,150,"['Fast Food', 'North Indian']"
MR. Crispy,Hadapsar,3.6,32,400,['Fast Food']
Potato Hut,Balewadi,3.5,,550,"['Fast Food', 'Continental']"
Pot Biryani House,Kharadi,3.5,28,300,['Biryani']
Pacino's,Pashan,3.6,42,1200,"['North Indian', 'Chinese', 'Biryani', 'Mughlai']"
Pizza Xprs,Kondhwa,3.3,28,250,['Pizza']
Desi Masala,Bavdhan,3.4,31,500,"['North Indian', 'Chinese', 'Fast Food', 'Desserts']"
Cafe Xinga,NIBM Road,3.5,,450,['Fast Food']
Aaira's Kitchen,Wanowrie Kondhwa Area,3.1,,,['Biryani']
HomeMade - The Taste of Bengal,Wagholi,2.6,,,['Bengali']
G B Quality Chinese & Tandoori,Sinhgad Road,3.4,,350,"['North Indian', 'Chinese']"
Cafe Aromatic,Ravet,3.2,4,500,['Cafe']
M I Eggs And Snacks Center,Kharadi,3.1,,200,"['Chinese', 'Fast Food']"
Vintage Club,Kharadi,3.1,,500,"['North Indian', 'Chinese']"
Irani Chaikhana,Viman Nagar,,0,250,['Cafe']
Super Eats,Hinjawadi,,0,,['Fast Food']
Snacks & Salad,Kothrud,3,,,"['Salad', 'Fast Food', 'North Indian']"
Annapurna Snacks & Dining,Sadashiv Peth,,0,150,['Maharashtrian']
Hungry Mania,Viman Nagar,3.5,,,"['North Indian', 'Biryani', 'Chinese', 'Rolls']"
Goli Vada Pav No. 1,Narhe,3.3,,200,['Street Food']
Cafe Ajmera,Camp Area,3.3,12,150,"['Fast Food', 'Beverages']"
New Open Kitchen The Food Corner,Sus,,0,400,"['North Indian', 'Street Food', 'Chinese']"
VJ's Curry Culture,Pashan,3.4,17,300,['North Indian']
Royal Restaurant,Chinchwad,3.2,,400,"['North Indian', 'Mughlai', 'Chinese']"
Momos N Mock,Kothrud Area,3.6,,150,"['Momos', 'Beverages']"
SK Hotel,Kharadi,,0,400,"['North Indian', 'Biryani']"
Robust,Koregaon Park,4,318,1300,"['Continental', 'North Indian', 'European', 'Asian', 'Italian', 'Seafood']"
Something Fishy,Viman Nagar,3.8,88,350,['Fast Food']
Mr. Manchurian,Hadapsar,3.5,,500,['Chinese']
Zaikedaar,Yerawada,3.7,56,400,['North Indian']
Puneri Express,Wakad,3.3,,500,"['South Indian', 'North Indian', 'Maharashtrian']"
Amol Dakshin Davangiri Dosa and Snacks,Sadashiv Peth,3.7,37,200,"['South Indian', 'Street Food']"
Sanvi Sandwich,Viman Nagar,3.4,,300,"['Cafe', 'Coffee', 'Salad', 'Sandwich']"
Sachin Restaurant,Hadapsar,3,6,400,"['North Indian', 'Chinese']"
The Good Food Kitchen,Bhosari,2.6,40,,"['Thai', 'Chinese', 'North Indian', 'Kebab']"
1 More Biryani,Narhe,3.5,53,500,"['Biryani', 'North Indian', 'Mughlai']"
Kunal Restaurant,Pimpri,3.4,32,700,"['North Indian', 'Chinese', 'Biryani', 'Seafood', 'Mughlai']"
Coriander,Karve Nagar,3.7,,300,"['Fast Food', 'Street Food']"
Akshay Pure Veg Family Restaurant,Balewadi,3.6,159,400,"['South Indian', 'North Indian', 'Chinese', 'Pizza']"
The Cake House & Cafe,Narhe,3.5,,300,"['Bakery', 'Fast Food']"
Mahesh Masoli Dhabba,Lonavala,3.7,,600,"['Seafood', 'Malwani', 'North Indian']"
Mauli Family Paan House,Mundhwa,3.2,,100,"['Paan', 'Beverages']"
Tulsi Malai Kulfi Icecream,Baner,3.7,,100,"['Desserts', 'Ice Cream']"
Shamee Kitchen,Karve Nagar,3.3,,300,['Fast Food']
Namrata's Kitchen,Sinhgad Road,3.1,92,300,"['Maharashtrian', 'Chinese', 'North Indian']"
Bombay Sandwich & Pizza,Pimpri,4.3,168,350,"['Sandwich', 'Pizza', 'Fast Food', 'North Indian']"
Cake O Cafe Dairy Don,Warje,3.5,41,300,"['Cafe', 'Desserts']"
Kaivalya Cafe Katta,Narhe,3.2,,200,"['Fast Food', 'Beverages']"
Crossbar,Kondhwa,3.5,,700,"['Chinese', 'North Indian']"
Hotel Gayatri,Pashan,3.6,40,400,"['North Indian', 'Maharashtrian']"
Broccoli - Picaddle Resort,Lonavala,3.8,111,1050,"['North Indian', 'South Indian', 'Continental']"
Konkan Katta,Pimple Saudagar,3.2,31,650,"['Seafood', 'Konkan']"
Radhika Pure Veg,Hadapsar,3.3,,600,"['North Indian', 'Chinese', 'South Indian', 'Beverages']"
Taste Of Punjab,Balewadi,3.4,,350,['North Indian']
Hotel Shivsankar,Hinjawadi,3.4,68,400,['Chinese']
City Plaza,Parvati,3.1,,800,"['Chinese', 'North Indian', 'Mughlai']"
Jai Mata Di,Hinjawadi,3.8,124,300,"['North Indian', 'Chinese', 'Street Food', 'Beverages']"
Desi Chulha,Baner,3.7,385,500,"['North Indian', 'Chinese']"
Diya Chinese,Hinjawadi,3.8,129,400,"['Chinese', 'Seafood']"
The Breakfast Box,Pimple Saudagar,4,478,,"['Healthy Food', 'South Indian', 'North Indian', 'Continental', 'Juices']"
Shanghai Spice & Sizzlers,Magarpatta,3.5,322,700,['Asian']
YCD - Yummy Classic Delights,Pimple Saudagar,3.4,,400,"['Bakery', 'Desserts']"
The Davanageri Benne Dosa,Chinchwad,3.8,,250,['South Indian']
Chaat Bazaar,Swargate,3.8,,450,"['Street Food', 'South Indian', 'North Indian', 'Fast Food']"
Golden Palms,Nigdi,3.4,60,500,"['North Indian', 'Maharashtrian', 'Hyderabadi', 'Chinese', 'Seafood', 'Ice Cream']"
E Hide Cafe,Viman Nagar,3.8,171,500,['Cafe']
Shree Chamunda Purohit Dining Hall,Hinjawadi,3.8,73,500,"['Rajasthani', 'Gujarati']"
New Sagar Pure Veg,Warje,3.3,,500,"['North Indian', 'South Indian', 'Chinese', 'Sandwich', 'Mughlai', 'Street Food', 'Desserts', 'Beverages']"
Saptagiri,Akurdi,3.7,125,750,"['North Indian', 'Chinese', 'Seafood']"
Mazzedar,Nigdi,3.8,474,500,"['Rolls', 'Chinese', 'North Indian', 'Biryani']"
Vandana,Magarpatta,3.8,408,200,"['Gujarati', 'North Indian']"
Om Pure Veg,Kondhwa,3.4,25,400,"['North Indian', 'South Indian', 'Chinese']"
Naivedyam,Parvati,3.4,224,900,"['South Indian', 'North Indian', 'Chinese', 'Beverages']"
Hotel Kautik,Pimple Saudagar,3.4,17,500,"['North Indian', 'Chinese']"
Metro Nine Restro Bar,Pimpri,3.5,28,1200,"['North Indian', 'Chinese', 'Seafood', 'Malwani', 'Continental']"
Alen's Restaurant,Kondhwa,3.5,29,350,"['Chinese', 'North Indian', 'Fast Food']"
Amrapali Restaurant,Warje,3.2,,500,"['North Indian', 'Malwani', 'Maharashtrian', 'Chinese']"
Kasba - Royal Orchid Golden Suites,Kalyani Nagar,3.6,189,1300,"['North Indian', 'Chinese', 'Continental']"
Puneri Sweets,Vishrantwadi,3.5,,250,"['Mithai', 'Bakery']"
Hotel Morya,Chandan Nagar,3.9,94,150,['Street Food']
Kaveri Sea Food,Warje,3.4,199,1000,"['Seafood', 'North Indian', 'Chinese', 'Mughlai']"
Barbeque Deck,Sinhgad Road,2.8,,1600,"['North Indian', 'Chinese', 'Mughlai', 'BBQ']"
Sidheshwar Foods,Pune-Solapur Road,3.4,,350,"['North Indian', 'Chinese', 'Fast Food']"
Kwality,Chinchwad,3.8,114,1100,"['North Indian', 'Mughlai']"
Just Baked,Dhole Patil Road,3.7,139,200,"['Bakery', 'Fast Food']"
Hotel Haveli,Bhosari,3.4,40,1000,"['North Indian', 'Chinese', 'Malwani', 'Mughlai']"
